fault_id,session_id,raised_at,resolved_at,in_session,fault_class,root_cause_closed_at,sla_days,recurrence_of
F-0028,DIL-20260309-4,2026-03-09T12:52,2026-03-09T13:24,true,CAN timeout,2026-03-21T12:52,5,
F-0029,DIL-20260311-5,2026-03-11T10:16,2026-03-11T10:55,true,Power-up sequence,2026-03-12T10:16,5,
F-0030,DIL-20260316-7,2026-03-16T12:00,2026-03-16T12:29,true,Model interface,2026-03-17T12:00,5,
F-0031,DIL-20260318-8,2026-03-18T13:04,2026-03-18T13:27,true,Calibration mismatch,2026-03-22T13:04,5,
F-0032,DIL-20260319-9,2026-03-19T09:31,2026-03-19T09:47,true,Model interface,2026-03-31T09:31,5,
F-0033,DIL-20260319-9,2026-03-19T09:18,2026-03-19T09:37,true,Model interface,2026-03-22T09:18,5,F-0003
F-0034,DIL-20260323-10,2026-03-23T11:04,2026-03-23T11:51,true,Power-up sequence,2026-04-04T11:04,5,
F-0035,DIL-20260325-11,2026-03-25T10:27,2026-03-25T11:01,true,Sensor scaling,2026-03-30T10:27,5,
F-0036,DIL-20260401-1,2026-04-01T11:31,2026-04-01T11:46,true,Logging config,2026-04-03T11:31,5,
F-0037,DIL-20260402-2,2026-04-02T10:08,2026-04-02T10:38,true,Logging config,2026-04-06T10:08,5,
F-0038,DIL-20260402-2,2026-04-02T12:17,2026-04-02T12:35,true,Model interface,2026-04-11T12:17,5,
F-0039,DIL-20260406-3,2026-04-06T13:20,2026-04-06T13:28,true,Model interface,2026-04-18T13:20,5,
F-0040,DIL-20260408-4,2026-04-08T10:02,2026-04-08T10:26,true,CAN timeout,2026-04-10T10:02,5,
F-0041,DIL-20260408-4,2026-04-08T12:15,2026-04-08T12:30,true,Model interface,2026-04-12T12:15,5,
F-0042,DIL-20260409-5,2026-04-09T11:58,2026-04-09T12:15,true,Calibration mismatch,2026-04-11T11:58,5,
F-0043,DIL-20260413-6,2026-04-13T12:18,2026-04-13T12:42,true,CAN timeout,2026-04-18T12:18,5,
F-0044,DIL-20260413-6,2026-04-13T12:08,2026-04-13T12:30,true,CAN timeout,2026-04-15T12:08,5,
F-0045,DIL-20260415-7,2026-04-15T13:02,2026-04-15T13:28,true,Sensor scaling,2026-04-18T13:02,5,
F-0046,DIL-20260415-7,2026-04-15T11:31,2026-04-15T11:53,true,Power-up sequence,2026-04-16T11:31,5,
F-0047,DIL-20260420-9,2026-04-20T09:15,2026-04-20T09:39,true,Logging config,2026-04-27T09:15,5,
F-0048,DIL-20260422-10,2026-04-22T10:07,2026-04-22T10:32,true,Power-up sequence,2026-05-01T10:07,5,
F-0049,DIL-20260423-11,2026-04-23T10:01,2026-04-23T10:25,true,Calibration mismatch,2026-05-05T10:01,5,F-0032
F-0050,DIL-20260429-13,2026-04-29T09:42,2026-04-29T10:00,true,Model interface,2026-04-30T09:42,5,
F-0051,DIL-20260430-14,2026-04-30T11:35,2026-04-30T12:09,true,Sensor scaling,2026-05-12T11:35,5,
F-0052,DIL-20260430-14,2026-04-30T13:19,2026-04-30T13:53,true,Calibration mismatch,2026-05-05T13:19,5,
F-0053,DIL-20260504-1,2026-05-04T12:17,2026-05-04T12:38,true,Power-up sequence,2026-05-16T12:17,5,
F-0054,DIL-20260506-2,2026-05-06T09:48,2026-05-06T10:00,true,Sensor scaling,2026-05-10T09:48,5,
F-0055,DIL-20260507-3,2026-05-07T09:44,2026-05-07T10:08,true,Calibration mismatch,2026-05-09T09:44,5,
F-0056,DIL-20260511-4,2026-05-11T09:06,2026-05-11T09:29,true,Calibration mismatch,2026-05-20T09:06,5,
F-0057,DIL-20260518-7,2026-05-18T11:49,2026-05-18T12:06,true,Calibration mismatch,2026-05-22T11:49,5,
F-0058,DIL-20260520-8,2026-05-20T09:25,2026-05-20T09:47,true,Power-up sequence,2026-05-29T09:25,5,
F-0059,DIL-20260521-9,2026-05-21T11:49,2026-05-21T12:06,true,Sensor scaling,2026-05-26T11:49,5,
F-0060,DIL-20260525-10,2026-05-25T09:19,2026-05-25T09:41,true,CAN timeout,2026-06-03T09:19,5,
F-0061,DIL-20260525-10,2026-05-25T11:09,2026-05-25T11:34,true,Power-up sequence,2026-05-29T11:09,5,
F-0062,DIL-20260527-11,2026-05-27T11:47,2026-05-27T12:04,true,Model interface,2026-05-31T11:47,5,
F-0063,DIL-20260528-12,2026-05-28T13:49,2026-05-28T14:02,true,CAN timeout,2026-06-06T13:49,5,
F-0064,DIL-20260601-1,2026-06-01T11:43,2026-06-01T12:10,true,Logging config,2026-06-05T11:43,5,
F-0065,DIL-20260603-2,2026-06-03T12:15,2026-06-03T12:34,true,Power-up sequence,2026-06-04T12:15,5,
F-0066,DIL-20260604-3,2026-06-04T12:39,2026-06-04T12:46,true,Logging config,2026-06-09T12:39,5,
F-0067,DIL-20260608-4,2026-06-08T10:10,2026-06-08T10:24,true,Calibration mismatch,2026-06-12T10:10,5,
F-0068,DIL-20260610-5,2026-06-10T09:54,2026-06-10T10:10,true,Model interface,2026-06-17T09:54,5,
F-0069,DIL-20260611-6,2026-06-11T12:44,2026-06-11T13:04,true,Sensor scaling,2026-06-13T12:44,5,
F-0070,DIL-20260618-9,2026-06-18T11:39,2026-06-18T12:01,true,Calibration mismatch,2026-06-22T11:39,5,
F-0071,DIL-20260622-10,2026-06-22T11:29,2026-06-22T11:51,true,Calibration mismatch,2026-06-25T11:29,5,
F-0072,DIL-20260624-11,2026-06-24T10:27,2026-06-24T10:30,true,CAN timeout,2026-06-25T10:27,5,
F-0073,DIL-20260625-12,2026-06-25T12:42,2026-06-25T13:00,true,CAN timeout,2026-06-29T12:42,5,
F-0074,DIL-20260629-13,2026-06-29T09:36,2026-06-29T09:49,true,Calibration mismatch,2026-06-30T09:36,5,
F-0075,DIL-20260701-1,2026-07-01T12:17,2026-07-01T12:35,true,CAN timeout,2026-07-03T12:17,5,
F-0076,DIL-20260702-2,2026-07-02T09:46,2026-07-02T09:52,true,Model interface,2026-07-05T09:46,5,
F-0077,DIL-20260715-7,2026-07-15T09:24,2026-07-15T09:28,true,Power-up sequence,2026-07-20T09:24,5,
F-0078,DIL-20260716-8,2026-07-16T13:07,2026-07-16T13:14,true,Logging config,2026-07-20T13:07,5,
F-0079,DIL-20260720-9,2026-07-20T11:27,2026-07-20T11:36,true,CAN timeout,2026-07-25T11:27,5,
F-0080,DIL-20260723-11,2026-07-23T09:12,2026-07-23T09:15,true,Power-up sequence,2026-07-27T09:12,5,
F-0081,DIL-20260729-13,2026-07-29T12:24,2026-07-29T12:39,true,Calibration mismatch,2026-08-01T12:24,5,
F-0082,DIL-20260812-5,2026-08-12T11:40,2026-08-12T11:50,true,Sensor scaling,2026-08-17T11:40,5,
F-0083,DIL-20260819-8,2026-08-19T13:27,2026-08-19T13:39,true,Logging config,2026-08-20T13:27,5,
F-0084,DIL-20260820-9,2026-08-20T13:02,2026-08-20T13:13,true,CAN timeout,2026-08-24T13:02,5,
F-0085,DIL-20260824-10,2026-08-24T09:58,2026-08-24T10:10,true,Calibration mismatch,2026-08-25T09:58,5,
