date,session_id,scheduled_minutes,productive_minutes,disruption_cause,control_faults,fault_restore_minutes,debrief_due,debrief_on_time,debrief_usefulness
2026-05-28,DIL-20260528-12,480,461,control_system,1,13,true,true,3.7
2026-06-01,DIL-20260601-1,480,458,control_system,1,27,true,true,4.4
2026-06-03,DIL-20260603-2,480,461,control_system,1,19,true,true,4.0
2026-06-04,DIL-20260604-3,480,467,control_system,1,7,true,true,4.4
2026-06-08,DIL-20260608-4,480,464,control_system,1,14,true,true,4.3
2026-06-10,DIL-20260610-5,480,463,control_system,1,16,true,true,3.9
2026-06-11,DIL-20260611-6,480,461,control_system,1,20,true,true,4.5
2026-06-15,DIL-20260615-7,540,529,none,0,0,true,true,4.5
2026-06-17,DIL-20260617-8,480,470,none,0,0,true,true,4.0
2026-06-18,DIL-20260618-9,420,401,control_system,1,22,true,true,4.1
2026-06-22,DIL-20260622-10,480,460,control_system,1,22,true,true,4.0
2026-06-24,DIL-20260624-11,480,469,control_system,1,3,true,true,4.0
2026-06-25,DIL-20260625-12,480,462,control_system,1,18,true,true,4.2
2026-06-29,DIL-20260629-13,480,464,control_system,1,13,true,true,3.8
2026-07-01,DIL-20260701-1,540,524,control_system,1,18,true,true,4.6
2026-07-02,DIL-20260702-2,480,470,control_system,1,6,true,true,4.4
2026-07-06,DIL-20260706-3,420,414,none,0,0,true,true,4.4
2026-07-08,DIL-20260708-4,480,473,none,0,0,true,true,4.2
2026-07-09,DIL-20260709-5,420,414,none,0,0,true,true,4.5
2026-07-13,DIL-20260713-6,480,473,none,0,0,true,true,4.4
2026-07-15,DIL-20260715-7,540,530,control_system,1,4,true,true,4.2
2026-07-16,DIL-20260716-8,420,411,control_system,1,7,true,true,4.6
2026-07-20,DIL-20260720-9,540,528,control_system,1,9,true,true,4.2
2026-07-22,DIL-20260722-10,480,462,other,0,0,true,true,4.6
2026-07-23,DIL-20260723-11,480,471,control_system,1,3,true,true,4.6
2026-07-27,DIL-20260727-12,480,473,none,0,0,true,true,4.3
2026-07-29,DIL-20260729-13,540,525,control_system,1,15,true,true,4.0
2026-07-30,DIL-20260730-14,480,473,none,0,0,true,true,4.3
2026-08-03,DIL-20260803-1,480,476,none,0,0,true,true,4.7
2026-08-05,DIL-20260805-2,420,416,none,0,0,true,true,4.4
2026-08-06,DIL-20260806-3,540,517,motion_platform,0,0,true,true,4.4
2026-08-10,DIL-20260810-4,420,383,other,0,0,true,true,4.3
2026-08-12,DIL-20260812-5,480,471,control_system,1,10,true,true,4.8
2026-08-13,DIL-20260813-6,480,476,none,0,0,true,true,4.4
2026-08-17,DIL-20260817-7,480,476,none,0,0,true,true,4.5
2026-08-19,DIL-20260819-8,420,411,control_system,1,12,true,true,4.6
2026-08-20,DIL-20260820-9,420,411,control_system,1,11,true,true,4.8
2026-08-24,DIL-20260824-10,540,530,control_system,1,12,true,true,4.6
2026-08-26,DIL-20260826-11,480,476,none,0,0,true,true,4.6
2026-08-27,DIL-20260827-12,420,416,none,0,0,true,true,4.8
2026-08-31,DIL-20260831-13,420,416,none,0,0,true,true,4.7
